date,imported,linked,unlinked,fleet,plane,unknown
2022-01-01,9,1,0,0,0,0
2022-01-02,11,0,1,0,0,0
2022-01-03,5,3,0,0,0,0
2022-01-04,11,3,1,0,0,0
2022-01-05,19,2,0,0,0,0
2022-01-06,7,1,2,0,0,0
2022-01-07,0,3,0,0,0,0
2022-01-08,0,3,1,0,0,0
2022-01-09,1,7,0,0,0,0
2022-01-10,0,13,0,0,0,0
2022-01-11,0,7,0,0,0,0
2022-01-12,0,11,0,0,0,0
2022-01-13,0,8,0,0,0,0
2022-01-14,0,10,0,0,0,0
2022-01-15,0,6,3,0,0,0
2022-01-16,0,10,0,0,0,0
2022-01-17,0,11,0,0,0,0
2022-01-18,0,11,1,0,0,0
2022-01-19,0,9,4,0,0,0
2022-01-20,0,12,0,0,0,0
2022-01-21,1,16,0,0,0,0
2022-01-22,1,8,3,0,0,0
2022-01-23,0,6,0,0,0,0
2022-01-24,0,14,0,0,0,0
2022-01-25,0,16,1,0,0,0
2022-01-26,0,14,1,0,0,0
2022-01-27,0,14,1,0,0,0
2022-01-28,0,11,0,0,0,0
2022-01-29,0,9,1,0,0,0
2022-01-30,0,13,0,0,0,0
2022-01-31,1,7,0,0,0,0
2022-02-01,0,8,0,0,0,0
2022-02-02,0,12,0,0,0,0
2022-02-03,0,10,1,0,0,0
2022-02-04,0,5,1,0,0,0
2022-02-05,0,3,1,0,0,0
2022-02-06,0,5,0,0,0,0
2022-02-07,0,5,2,0,0,0
2022-02-08,0,4,1,0,0,0
2022-02-09,0,4,0,0,0,0
2022-02-10,0,7,0,0,0,0
2022-02-11,0,4,0,0,0,0
2022-02-12,0,5,1,0,0,0
2022-02-13,0,4,1,0,0,0
2022-02-14,0,4,0,0,0,0
2022-02-15,0,11,0,0,0,0
2022-02-16,0,8,0,0,0,0
2022-02-17,0,12,0,0,0,0
2022-02-18,1,4,0,0,0,0
2022-02-19,0,3,0,0,0,0
2022-02-20,0,2,0,0,0,0
2022-02-21,0,4,1,0,0,0
2022-02-22,0,1,0,0,0,0
2022-02-23,0,1,2,0,0,0
2022-02-24,0,3,0,0,0,0
2022-02-25,0,1,0,0,0,0
2022-02-26,0,1,0,0,0,0
2022-02-27,0,2,0,0,0,0
2022-02-28,0,5,0,0,0,0
2022-03-01,0,4,0,0,0,0
2022-03-02,0,1,0,0,0,0
2022-03-03,0,2,1,0,0,0
2022-03-04,0,3,0,0,0,0
2022-03-05,0,0,0,0,0,0
2022-03-06,0,1,0,0,0,0
2022-03-07,0,5,0,0,0,0
2022-03-08,0,2,0,0,0,0
2022-03-09,0,1,1,0,0,0
2022-03-10,0,1,0,0,0,0
2022-03-11,0,3,0,0,0,0
2022-03-12,0,1,0,0,0,0
2022-03-13,0,3,1,0,0,0
2022-03-14,0,1,1,0,0,0
2022-03-15,0,5,0,0,0,0
2022-03-16,0,4,1,0,0,0
2022-03-17,0,4,0,0,0,0
2022-03-18,0,4,0,0,0,0
2022-03-19,0,2,0,0,0,0
2022-03-20,0,3,0,0,0,0
2022-03-21,0,3,0,0,0,0
2022-03-22,0,9,0,0,0,0
2022-03-23,0,9,3,0,0,0
2022-03-24,0,4,1,0,0,0
2022-03-25,0,14,2,0,0,0
2022-03-26,0,15,6,0,0,0
2022-03-27,0,25,6,0,0,0
2022-03-28,0,34,5,0,0,0
2022-03-29,0,34,9,0,0,0
2022-03-30,0,22,3,0,0,0
2022-03-31,0,25,4,0,0,0
2022-04-01,0,29,2,0,0,0
2022-04-02,0,18,3,0,0,0
2022-04-03,0,20,2,0,0,0
2022-04-04,0,13,1,0,0,0
2022-04-05,0,32,0,0,0,0
2022-04-06,0,31,0,0,0,0
2022-04-07,0,34,0,0,0,0
2022-04-08,0,40,0,0,0,0
2022-04-09,0,44,0,0,0,0
2022-04-10,0,33,0,0,0,0
2022-04-11,0,29,0,0,0,0
2022-04-12,0,29,0,0,0,0
2022-04-13,0,10,0,0,0,1
2022-04-14,0,10,0,0,0,0
2022-04-15,0,20,0,0,0,0
2022-04-16,0,7,0,0,0,0
2022-04-17,1,7,0,0,0,0
2022-04-18,0,1,0,0,0,0
2022-04-19,0,0,0,0,0,0
2022-04-20,0,0,0,0,0,0
2022-04-21,0,0,0,0,0,0
2022-04-22,0,0,0,0,0,0
2022-04-23,0,0,0,0,0,0
2022-04-24,0,0,0,0,0,0
2022-04-25,0,0,0,0,0,0
2022-04-26,0,0,0,0,0,0
2022-04-27,0,0,0,0,0,0
2022-04-28,0,0,0,0,0,0
2022-04-29,0,0,0,0,0,0
2022-04-30,0,0,0,0,0,0
